beta,P,V_continuum,V_finiteP64,finiteP_bias_pct,basis_delta_K64_to_K81,kgrid_delta_N8_to_N12_at_K81
0.5,64,2.152490622179182,2.152481288664921,-0.00043361463064464645,6.030581500837684e-07,9.560130465047223e-11
1.0,64,1.4115867963820357,1.4115533282434283,-0.002370958604399299,6.128519913772834e-11,2.6645352591003757e-15
1.9,64,0.8310438321937622,0.8309534099745753,-0.010880559566656811,3.8746783559417963e-14,2.1094237467877974e-15
2.5,64,0.7129518184471602,0.7128065412059081,-0.020376866639941767,7.327471962526033e-15,2.220446049250313e-16
