nbin,seed,L1_chain_vs_exactP64
8,131001,0.11629811895133692
8,131002,0.07089188056012401
8,131003,0.048604378204720716
8,131004,0.09430252622109735
8,131005,0.08032529513129164
8,131006,0.07774387412918674
8,131007,0.06230869113354254
8,131008,0.08033326332296667
8,131009,0.06849329207836662
8,131010,0.06762001157116763
8,131011,0.06281080201014791
8,131012,0.06679662453197323
8,131013,0.08764856474499519
8,131014,0.0664215014658411
8,131015,0.046866287918827985
8,131016,0.05610761910103944
16,131001,0.13398193416955484
16,131002,0.08832887453429952
16,131003,0.06539911078208474
16,131004,0.1046231329021708
16,131005,0.09085535172053522
16,131006,0.09501890698110702
16,131007,0.07019874777799248
16,131008,0.09125978299751752
16,131009,0.08270040207287951
16,131010,0.08208115036008287
16,131011,0.07693312933863697
16,131012,0.08312908984046377
16,131013,0.09856491139442894
16,131014,0.08102497043796661
16,131015,0.06167208485596062
16,131016,0.07278289112751757
32,131001,0.14211279574962316
32,131002,0.09921252840479061
32,131003,0.07488012110077377
32,131004,0.11311461859393604
32,131005,0.10101159178593774
32,131006,0.1027954744726275
32,131007,0.0779360065637894
32,131008,0.0991109113739976
32,131009,0.09382365221976999
32,131010,0.0900618668801919
32,131011,0.08852618327203451
32,131012,0.0903078635203646
32,131013,0.10635697974788112
32,131014,0.09273444279702842
32,131015,0.07431138454661103
32,131016,0.0853353386143559
