nbin,D_PIMC_exactP64,D_SPLH_exactP64,D_exactP64_continuum,null_q005,null_q025,null_q16,null_median,null_q84,null_q975,null_q995,p_null,D_seed_first8_vs_second8,D_seed_odd_vs_even,D_time_first_vs_second,per_chain_L1_min,per_chain_L1_median,per_chain_L1_max,pooled_bead_count,per_chain_bead_count,exact_norm_error,splh_norm_error,null_reps,bootstrap_seed
8,0.01772600891272913,0.09098568169911578,0.00015094866407922543,0.007980038452148426,0.009600509643554652,0.012705688476562529,0.016839599609374947,0.02208099365234381,0.028330383300781192,0.03307434387207031,0.42727786361068193,0.0402557373046875,0.03944335937499999,0.045064086914062516,0.046866287918827985,0.06805665182476713,0.11629811895133692,6553600,409600,1.1102230246251565e-15,1.1102230246251565e-16,200000,20260908
16,0.020058017556441016,0.09391018652333959,0.00016442148685909003,0.010639038085937521,0.012504867553710976,0.015916137695312516,0.020359802246093774,0.025963134765624993,0.03264099884033201,0.03768469848632821,0.5235923820380898,0.05052185058593747,0.044873046875,0.053944091796874996,0.06167208485596062,0.08291474595667164,0.13398193416955484,6553600,409600,1.1102230246251565e-15,0.0,200000,20260908
32,0.021999644746112802,0.09522736052547046,0.00016759286814542566,0.01232665557861327,0.014384460449218754,0.018042907714843764,0.022659301757812493,0.028426818847656243,0.0352813720703125,0.040430308532714856,0.5515572422137889,0.055347900390625,0.04906433105468749,0.057661743164062494,0.07431138454661103,0.0932790475083992,0.14211279574962316,6553600,409600,8.881784197001252e-16,0.0,200000,20260908
