P,condition,metric,n,pooled_mean,pooled_p05,pooled_p25,pooled_median,pooled_p75,pooled_p95,chain_boot_mean_ci95_lo,chain_boot_mean_ci95_hi,chain_boot_mean_of_medians_ci95_lo,chain_boot_mean_of_medians_ci95_hi
256,all,lambda_min,5760000,-0.1258247196674347,-0.26503217220306396,-0.20717328786849976,-0.11538471281528473,-0.04746992886066437,0.00354225211776793,-0.12607042107731103,-0.125601801276207,-0.11585629710927606,-0.11500762110576034
256,all,c_moire,5760000,0.007645442616194487,-0.0005583292222581804,0.004741183947771788,0.00807400606572628,0.011074884794652462,0.01409805379807949,0.00762059859931469,0.007677122820168733,0.008052963414229453,0.008099435924086719
256,all,c_BLK,5760000,-0.13347645103931427,-0.2751882076263428,-0.2162790298461914,-0.12394517660140991,-0.05458289384841919,1.1847984069390805e-06,-0.13374309062957762,-0.1332355021312833,-0.12442572856321932,-0.12355531092733145
256,all,c_wall,5760000,6.284893970587291e-06,1.0800282852890109e-16,8.239257276443368e-09,1.5162088118358952e-07,1.6611847968306392e-06,2.626879359013401e-05,6.10443586197107e-06,6.4611588175012005e-06,1.4905072372783935e-07,1.5379763297573844e-07
256,all,O_rho,5760000,0.9079800248146057,3.993760401499458e-06,0.9921265244483948,0.9990496635437012,0.9997747540473938,0.9999439716339111,0.9075488978624344,0.908383395075798,0.9990400549769402,0.9990619659423828
256,all,O_theta,5760000,0.0017320221522822976,1.2261446613592852e-07,7.964745236677118e-06,6.799495167797431e-05,0.0004687042674049735,0.00634639710187912,0.0016801851571653969,0.0017779412891832178,6.655121371295537e-05,6.917633678312995e-05
256,all,O_COM,5760000,0.09028793126344681,2.995201248268131e-05,0.0001655191881582141,0.0006763259880244732,0.0061279237270355225,0.9999951720237732,0.08988794209435583,0.09073510898277164,0.0006699325535737444,0.000682145539612975
256,zeta_ge_1,lambda_min,5327150,-0.1364227533340454,-0.2655136287212372,-0.21434588730335236,-0.12779337167739868,-0.06098116561770439,-0.018207980319857597,-0.13679582625627518,-0.13612184528261423,-0.1283703027293086,-0.1273315116763115
256,zeta_ge_1,c_moire,5327150,0.007888568565249443,-0.0007707941113039851,0.005088438279926777,0.008491480723023415,0.011308213695883751,0.01419181376695633,0.007860783217474817,0.007924907112028451,0.008469019131734966,0.008521041588392108
256,zeta_ge_1,c_BLK,5327150,-0.1443181186914444,-0.27564090490341187,-0.22348949313163757,-0.13649524748325348,-0.06860455125570297,-0.02195216529071331,-0.14472147438675165,-0.14399499747902156,-0.13709141012281179,-0.13603073962032797
256,zeta_ge_1,c_wall,5327150,6.793452484998852e-06,6.391969731289748e-10,1.802425408925501e-08,2.1768957481071993e-07,2.014026449614903e-06,2.87916736851912e-05,6.599798547313185e-06,6.986393510715061e-06,2.1459916734301033e-07,2.202693746511386e-07
256,zeta_ge_1,O_rho,5327150,0.9810374975204468,0.9383028149604797,0.995577335357666,0.999261736869812,0.9997929930686951,0.9999474287033081,0.980624797642231,0.9815572929382325,0.9992536839842796,0.9992723590135574
256,zeta_ge_1,O_theta,5327150,0.0018725809641182423,4.3770603497250704e-07,1.4744842701475136e-05,8.874587365426123e-05,0.0005568732158280909,0.00696160364896059,0.0018175607384182514,0.0019221203061169944,8.699435838934732e-05,9.022138003274449e-05
256,zeta_ge_1,O_COM,5327150,0.017089884728193283,2.76196969934972e-05,0.00015187161625362933,0.0005219666636548936,0.003356330096721649,0.051919836550951004,0.01661820858018473,0.01746728018624708,0.0005161138910625595,0.000526699034817284
256,zeta_gt_5,lambda_min,5234519,-0.13875135779380798,-0.2656189799308777,-0.21588250994682312,-0.1305324137210846,-0.06394939124584198,-0.02183208428323269,-0.13907073322683572,-0.13848983846604823,-0.1310361775010824,-0.1301361783593893
256,zeta_gt_5,c_moire,5234519,0.008026731200516224,-0.00022246071603149176,0.0052711148746311665,0.008580949157476425,0.011354481801390648,0.014212160371243954,0.008002275403123349,0.008057438232935966,0.008561180832330137,0.008606976282317191
256,zeta_gt_5,c_BLK,5234519,-0.14678339660167694,-0.27573323249816895,-0.22501856088638306,-0.13923196494579315,-0.0716719925403595,-0.02642536535859108,-0.14712389279156923,-0.14650566659867761,-0.13975562933832406,-0.13881431806832553
256,zeta_gt_5,c_wall,5234519,5.309091193339555e-06,7.992608797025014e-10,1.92464515436086e-08,2.1984551779041794e-07,1.9531985344656277e-06,2.4851122361724265e-05,5.189521932607022e-06,5.423669286983568e-06,2.166400476966146e-07,2.2250223260300573e-07
256,zeta_gt_5,O_rho,5234519,0.9913851022720337,0.9561883807182312,0.9960435032844543,0.9992994666099548,0.9997966885566711,0.9999481439590454,0.9912560634315014,0.9915285594761372,0.9992926120758057,0.9993087652325631
256,zeta_gt_5,O_theta,5234519,0.001559798838570714,5.640370090986835e-07,1.543544203741476e-05,8.960644481703639e-05,0.0005458892555907369,0.0063681574538350105,0.0015199951478280127,0.0015937550136004574,8.781547949183732e-05,9.118271045736038e-05
256,zeta_gt_5,O_COM,5234519,0.0070551312528550625,2.7119887818116695e-05,0.00014897662913426757,0.0004946188419125974,0.00298756780102849,0.036465611308813095,0.006950704012997448,0.007155312607064843,0.0004896693106275051,0.0004986303788609803
