P,n_chains,p_invalid,p_invalid_chain_sem,p_invalid_ci95_lo,p_invalid_ci95_hi,p_invalid_no_wall_diagnostic,p_invalid_no_wall_sem,p_invalid_no_wall_ci95_lo,p_invalid_no_wall_ci95_hi,zeta_median_chain_mean,p_zeta_gt_5_chain_mean,rho_median_nm_chain_mean,rho_mean_nm_chain_mean,reference_p_invalid,delta_p_invalid,reference_p_invalid_ci95_lo,delta_p_invalid_ci95_lo,reference_p_invalid_ci95_hi,delta_p_invalid_ci95_hi,reference_p_invalid_no_wall_diagnostic,delta_p_invalid_no_wall_diagnostic,reference_zeta_median_chain_mean,delta_zeta_median_chain_mean,reference_p_zeta_gt_5_chain_mean,delta_p_zeta_gt_5_chain_mean,reference_rho_median_nm_chain_mean,delta_rho_median_nm_chain_mean,reference_rho_mean_nm_chain_mean,delta_rho_mean_nm_chain_mean
64,10,0.8896041666666668,0.0003424877842684541,0.8889236111111112,0.8902027777777779,0.8896048611111113,0.0003425526284248047,0.8889493055555556,0.8901999999999999,17.332855033874512,0.8702833333333334,1.4767207980155945,1.694667387008667,0.8896041666666668,0.0,0.8889236111111112,0.0,0.8902027777777779,0.0,0.8896048611111113,0.0,17.332855033874512,0.0,0.8702833333333334,0.0,1.4767207980155945,0.0,1.694667387008667,0.0
128,10,0.9160670138888888,0.00020423112093592762,0.9156885329861111,0.9164472222222221,0.9160670138888888,0.00020423112093592762,0.91569234375,0.916460078125,17.310343933105468,0.8991906249999999,1.6020405054092408,1.7957071304321288,0.9160670138888888,0.0,0.9156885329861111,0.0,0.9164472222222221,0.0,0.9160670138888888,0.0,17.310343933105468,0.0,0.8991906249999999,0.0,1.6020405054092408,0.0,1.7957071304321288,0.0
256,10,0.9248524305555555,0.00039411141337912894,0.9240048611111111,0.925468923611111,0.9248536458333332,0.000394137419259891,0.9240326128472222,0.9254696223958333,17.318186569213868,0.908770659722222,1.6374945044517517,1.8270547986030579,0.9248524305555555,0.0,0.9240048611111111,0.0,0.925468923611111,0.0,0.9248536458333332,0.0,17.318186569213868,0.0,0.908770659722222,0.0,1.6374945044517517,0.0,1.8270547986030579,0.0
