beta_triangular,V_exact_triangular,V_RLH_triangular,signed_relative_error_triangular_pct,V_exact_asymmetric,V_RLH_asymmetric,signed_relative_error_asymmetric_pct,same_beta_raw_ratio,same_beta_warning,matched_zeta_ratio,matched_epsilon3_ratio,matched_epsilon34_ratio
0.5,2.152490614588254,2.1337902456553755,-0.868778186819438,1.775028918502929,1.7641321093491535,-0.6138947394144989,1.4151907990741763,,1.1949284673936513,1.1311730376476716,1.140771481045149
1.0,1.4115867963962878,1.3636328660534942,-3.397164840675589,1.316213510063247,1.2820700239705978,-2.594068958539151,1.3095892572527066,,1.2676076006467758,1.2454049882416134,1.2483028501219136
2.0,0.8033960039653465,0.807853263862135,0.5548023483797072,0.7965030852807733,0.7695120528583033,-3.3886915093311267,nan,opposite signs,nan,nan,nan
2.5,0.712971753689017,0.8369756041526399,17.392533409915533,0.6859310127219553,0.7122102465803504,3.8311773882495994,4.539735868994019,,1.950457688600686,1.8558186968444952,1.889572218025102
