benchmark,lambda_min_optimized,beta_c_global,s,t,x,y,potential_gradient_norm_at_lambda_min,optimizer_success,optimizer_nfev,hessian_other_eigenvalue
triangular,-1.5,2.565099660323728,0.5,0.0,3.141592653589793,1.813799364234218,2.1211504774498136e-16,True,146,0.49999999999999994
asymmetric,-1.3421987532272617,2.71169885143111,0.4994373779495712,0.46253515503040893,3.1380575949890437,5.167542277719999,0.5000601313630622,True,170,-0.07660252864393596
