type,s,t,x,y,lambda_min,lambda_max,gradient_norm,beta_c_local
minimum,0.03807242867566645,0.012517200622938499,0.2392161244635902,0.22892625598106486,0.9705977798606482,1.3170062816645605,3.925231146709438e-17,inf
saddle,0.5957536490753249,0.8341679431610782,3.7432305745687047,8.213208319746595,-0.862299211405184,0.32151006679272276,3.925231146709438e-16,3.383147075148312
saddle,0.927021811911177,0.5594353880110904,5.824649828035305,7.4216773505700475,-0.8129198986793442,0.6332443870309221,8.252325904466732e-16,3.484383877146287
maximum,0.4152194461965302,0.3505493259628718,2.608900723597283,4.049554113314663,-1.1237254884194214,-0.685380807288257,1.1551122306821434e-15,2.9636011651688974
