type,s,t,x,y,lambda_min,lambda_max,gradient_norm,beta_c_local
minimum,0.0,0.0,0.0,0.0,1.4999999999999998,1.5,0.0,inf
saddle,0.5,0.0,3.141592653589793,1.813799364234218,-1.5,0.49999999999999994,2.1211504774498136e-16,2.565099660323728
saddle,0.5,0.5,3.141592653589793,5.441398092702654,-1.5,0.49999999999999994,1.2246467991473532e-16,2.565099660323728
saddle,1.0,0.5,6.283185307179586,7.255197456936872,-1.4999999999999998,0.5,4.415526828658631e-16,2.565099660323728
maximum,0.3333333333333339,0.33333333333333215,2.0943951023931993,3.62759872846843,-0.7500000000000051,-0.7499999999999952,5.591215865739187e-15,3.6275987284684232
maximum,0.6666666666666666,0.6666666666666667,4.1887902047863905,7.255197456936873,-0.750000000000001,-0.7499999999999998,4.742874840267547e-16,3.627598728468433
