P,seed,n_frames,n_paired_beads,p_invalid,p_invalid_no_wall_diagnostic,zeta_median,zeta_p95,zeta_max_sampled,p_zeta_gt_2,p_zeta_gt_5,rho_mean_nm,rho_median_nm,rho_p05_nm,rho_p95_nm,acceptance_local_e,acceptance_local_h,acceptance_staging,acceptance_global_joint,elapsed_s,path,path_sha256,status
64,95000,2250,144000,0.8886875,0.8886875,17.436080932617188,26.279367446899414,27.216707229614258,0.8835902777777778,0.8698263888888889,1.67935049533844,1.4631268978118896,0.32087841629981995,3.7621123790740967,0.8937357638888889,0.9109225694444445,0.21811111111111112,0.014756084131703557,11.286480188369751,reconstructed_chains/P64_seed95000.npz,da2551c2f4fcb7b4f9d314352f2c6b5d3b3065a2aeb0826db69959672bb3798a,reconstructed
64,95001,2250,144000,0.8882638888888889,0.8882638888888889,17.312997817993164,26.270954132080078,27.223007202148438,0.8835625,0.8699236111111112,1.694974660873413,1.4781239032745361,0.3200620114803314,3.8066930770874023,0.8936534722222222,0.9114111111111111,0.2205,0.017432115320147504,2.2326157093048096,reconstructed_chains/P64_seed95001.npz,a7e2da721a4701604ad57cb6a39956b9d9c7ae76af6a5d60325b5a1962914a7d,reconstructed
64,95002,2250,144000,0.8902152777777778,0.8902152777777778,17.271888732910156,26.275577545166016,27.326555252075195,0.8851736111111111,0.8706666666666667,1.6939210891723633,1.4788904190063477,0.3226587772369385,3.8053464889526367,0.8939055555555555,0.9113545138888889,0.2190111111111111,0.013501549358123064,2.282663345336914,reconstructed_chains/P64_seed95002.npz,1a8f5ca075415a960feb74eb4455dbd42351a5e5de7bf4e31ad34d740b8ed267,reconstructed
64,95003,2250,144000,0.8893125,0.8893125,17.25891876220703,26.27214241027832,27.19122314453125,0.8840138888888889,0.868875,1.7009490728378296,1.4807586669921875,0.31988996267318726,3.825183153152466,0.8938236111111111,0.911425,0.22017777777777778,0.013824362606232295,2.186798095703125,reconstructed_chains/P64_seed95003.npz,f1dd8bcca1d0c70e12bc469569362ced5e437a3624efabe8deb5dc7f3a7c54f1,reconstructed
64,95004,2250,144000,0.8876597222222222,0.8876597222222222,17.3769588470459,26.266874313354492,27.11905860900879,0.8826875,0.8689097222222222,1.6887418031692505,1.470510721206665,0.31987622380256653,3.808457851409912,0.8938819444444445,0.9112423611111111,0.21798333333333333,0.014098690835850957,2.216526985168457,reconstructed_chains/P64_seed95004.npz,c94965933b004facaa7fe5677bd10eccedc652d9be25c9bea5a65834c482c180,reconstructed
64,95005,2250,144000,0.890125,0.890125,17.391109466552734,26.276334762573242,27.20018768310547,0.8850555555555556,0.8712986111111111,1.6892104148864746,1.4727911949157715,0.3221169710159302,3.79158878326416,0.8936447916666667,0.9111770833333334,0.21822777777777777,0.015268864793095818,2.2294259071350098,reconstructed_chains/P64_seed95005.npz,80b4cb28d14b2bbac99c6b950edba67738886008fa9a7807419181a0ede000cf,reconstructed
64,95006,2250,144000,0.8898888888888888,0.8898958333333333,17.316679000854492,26.266542434692383,27.202476501464844,0.8845833333333334,0.8700902777777778,1.7002726793289185,1.479840874671936,0.32238641381263733,3.828678607940674,0.893596875,0.9113909722222222,0.22264444444444445,0.016248636859323883,2.1797027587890625,reconstructed_chains/P64_seed95006.npz,e23fb9c691baef49be9c12f0adf96478cb0e0b790580aab935cb0af26a9c4829,reconstructed
64,95007,2250,144000,0.8903888888888889,0.8903888888888889,17.278636932373047,26.267078399658203,27.256855010986328,0.8856319444444445,0.8713194444444444,1.7048380374908447,1.4876177310943604,0.32570207118988037,3.82611083984375,0.8939131944444444,0.9110256944444445,0.22005555555555556,0.011840212459887131,2.161470890045166,reconstructed_chains/P64_seed95007.npz,7bd00c3e0c61a0083e04ae70882384a4bd7e24a8ee059a14bb4435b75ca93c79,reconstructed
64,95008,2250,144000,0.8909583333333333,0.8909583333333333,17.388423919677734,26.271177291870117,27.201923370361328,0.8858541666666667,0.8717638888888889,1.695907711982727,1.4789330959320068,0.3230043053627014,3.7976226806640625,0.8936059027777777,0.911465625,0.22138888888888889,0.016335540838852098,2.2159762382507324,reconstructed_chains/P64_seed95008.npz,221ca3f021f0d63601d2eed72caa03f8261590589410efc63a189252573f9077,reconstructed
64,95009,2250,144000,0.8905416666666667,0.8905416666666667,17.296855926513672,26.27113914489746,27.184539794921875,0.8851597222222222,0.8701597222222223,1.6985079050064087,1.4766144752502441,0.32121899724006653,3.816528558731079,0.8936996527777777,0.9113284722222222,0.21822777777777777,0.015175359712230215,2.2629499435424805,reconstructed_chains/P64_seed95009.npz,d8ace924e04f9d24d01bd09b21be21a03a0805454ef263c3b970e25dd4098753,reconstructed
128,159000,2250,288000,0.9158159722222222,0.9158159722222222,17.298202514648438,26.25194549560547,27.250329971313477,0.9119201388888889,0.8991111111111111,1.7951139211654663,1.5990536212921143,0.3799351155757904,3.8893861770629883,0.8611130208333333,0.8887800347222222,0.3498833333333333,0.01712707182320442,4.348650932312012,reconstructed_chains/P128_seed159000.npz,0c394b1bff1889a90e24447f3bac8627cdabfa3c792e1b1c94f343d83405e75b,reconstructed
128,159001,2250,288000,0.9164201388888888,0.9164201388888888,17.25800132751465,26.254980087280273,27.260000228881836,0.9125590277777778,0.8990069444444444,1.8006447553634644,1.6070923805236816,0.3809247612953186,3.8774826526641846,0.8611871527777778,0.8889630208333333,0.35196666666666665,0.014092321349312029,4.231781005859375,reconstructed_chains/P128_seed159001.npz,cfdfcc734208ee604305bc35aa30fb05e42dd06807a11e8c8d72cb43ed96bd7e,reconstructed
128,159002,2250,288000,0.9160729166666667,0.9160729166666667,17.33321762084961,26.25217056274414,27.350711822509766,0.9122534722222222,0.8991111111111111,1.794229507446289,1.601790428161621,0.38156622648239136,3.878540515899658,0.8613960069444444,0.8886939236111111,0.34865555555555555,0.013210479573712255,4.238785266876221,reconstructed_chains/P128_seed159002.npz,3efd0d35db236cdfaf75dd88a4d9eb9bc9674da8ace5cefb595eb7a6bb615136,reconstructed
