seed,P,temperature_K,n_steps,burn_in,sample_every,n_stored,n_paired_beads,p_inv_full,p_inv_H1,p_inv_H2,delta_H2_H1,p_inv_Q1,p_inv_Q2,p_inv_Q3,p_inv_Q4,p_inv_block_sem,p_inv_block_min,p_inv_block_max,p_inv_slope_per_100k_steps,p_inv_slope_se_per_100k_steps,p_inv_slope_z,p_inv_slope_p_two_sided,zeta50,w_zeta_gt5,rho_median,rho_mean,H1_p_inv,H1_zeta50,H1_w_zeta_gt5,H1_rho_median,H1_rho_mean,H2_p_inv,H2_zeta50,H2_w_zeta_gt5,H2_rho_median,H2_rho_mean,delta_zeta50_H2_H1,delta_w_zeta_gt5_H2_H1,delta_rho_median_H2_H1,delta_rho_mean_H2_H1,zeta50_Q1,w_zeta_gt5_Q1,rho_median_Q1,rho_mean_Q1,zeta50_Q2,w_zeta_gt5_Q2,rho_median_Q2,rho_mean_Q2,zeta50_Q3,w_zeta_gt5_Q3,rho_median_Q3,rho_mean_Q3,zeta50_Q4,w_zeta_gt5_Q4,rho_median_Q4,rho_mean_Q4,elapsed_s,acceptance_local_e,acceptance_local_h,acceptance_staging,acceptance_global_joint
912560,256,20.0,240000,15000,20,11250,2880000,0.9248201388888889,0.9250631944444444,0.9245770833333333,-0.0004861111111110761,0.9245189744045503,0.9255979492534661,0.9250102796052632,0.9241531827880513,0.00037911677021103555,0.9233947146159317,0.9267564233641536,-0.00029393345938351627,0.0006240501354221417,-0.4710093671956077,0.6542709729765327,17.34644889831543,0.9087083333333333,1.6339616775512695,1.8237138986587524,0.9250631944444444,17.367538452148438,0.9085840277777778,1.6322228908538818,1.8223791122436523,0.9245770833333333,17.326862335205078,0.9088326388888889,1.6357566118240356,1.825048565864563,-0.040676116943359375,0.0002486111111110745,0.0035337209701538086,0.0026694536209106445,17.408733367919922,0.9081621600604337,1.6249712705612183,1.8140709400177002,17.325489044189453,0.9090008998400284,1.6392359733581543,1.830625295639038,17.28945541381836,0.9093880578769559,1.642442226409912,1.8335033655166626,17.36311912536621,0.9082823057432432,1.629544734954834,1.8166565895080566,42.645920276641846,0.8084502430555556,0.8475376388888889,0.4505111111111111,0.014896995996152728
912560,256,20.0,240000,30000,20,10500,2688000,0.9248017113095238,0.9247686011904762,0.9248348214285714,6.622023809521593e-05,0.9247142857142857,0.9248229166666667,0.9253258928571428,0.92434375,0.00021011921809444874,0.9235899390243902,0.9253376286204268,-7.14032134867909e-05,0.0003762100573481317,-0.1897961314221774,0.8557270318301441,17.341018676757812,0.9087775297619047,1.6347920894622803,1.8246409893035889,0.9247686011904762,17.36203384399414,0.9085625,1.6329286098480225,1.8235405683517456,0.9248348214285714,17.32074737548828,0.9089925595238095,1.6366932392120361,1.8257412910461426,-0.041286468505859375,0.00043005952380947843,0.003764629364013672,0.0022007226943969727,17.3887882232666,0.9085863095238095,1.6291148662567139,1.8192967176437378,17.334978103637695,0.9085386904761905,1.6368110179901123,1.8277846574783325,17.288955688476562,0.9095669642857143,1.6429033279418945,1.832994818687439,17.352636337280273,0.9084181547619048,1.6308484077453613,1.8184877634048462,42.645920276641846,0.8084502430555556,0.8475376388888889,0.4505111111111111,0.014896995996152728
912560,256,20.0,240000,60000,20,9000,2304000,0.9248845486111111,0.9251293402777778,0.9246397569444444,-0.0004895833333333766,0.9252760416666667,0.9249826388888889,0.924640625,0.9246388888888889,0.00034782051009995564,0.9232118055555556,0.9260694444444444,-0.0006117724867725118,0.0006845942153713748,-0.8936278937744763,0.4059357537372719,17.327377319335938,0.9088628472222222,1.6369249820709229,1.8267207145690918,0.9251293402777778,17.335081100463867,0.9088463541666667,1.637510895729065,1.8292042016983032,0.9246397569444444,17.318958282470703,0.9088793402777777,1.6362988948822021,1.8242372274398804,-0.016122817993164062,3.29861111110219e-05,-0.001212000846862793,-0.0049669742584228516,17.35778045654297,0.9091197916666667,1.6360034942626953,1.8273954391479492,17.311552047729492,0.9085729166666666,1.63909912109375,1.8310129642486572,17.296295166015625,0.9092829861111111,1.640304446220398,1.827532172203064,17.341968536376953,0.9084756944444444,1.6324992179870605,1.8209422826766968,42.645920276641846,0.8084502430555556,0.8475376388888889,0.4505111111111111,0.014896995996152728
912561,256,20.0,240000,15000,20,11250,2880000,0.9246746527777778,0.9251555555555555,0.92419375,-0.0009618055555554728,0.9250966494845361,0.9252119067721294,0.924499077613798,0.9238906361130867,0.00021146108772731738,0.9238225684566145,0.9253256134423897,-0.0006812859021203191,0.0002197269231859788,-3.100602749275621,0.021100236838803823,17.350643157958984,0.908221875,1.6335886716842651,1.8236757516860962,0.9251555555555555,17.331825256347656,0.9088229166666667,1.6371909379959106,1.8265591859817505,0.92419375,17.368240356445312,0.9076208333333333,1.6301673650741577,1.8207919597625732,0.03641510009765625,-0.0012020833333333814,-0.00702357292175293,-0.005767226219177246,17.357221603393555,0.9084357225382155,1.6346460580825806,1.8242930173873901,17.306446075439453,0.9092105847849271,1.6397311687469482,1.8289016485214233,17.333438873291016,0.9075377289295875,1.6334052085876465,1.8256311416625977,17.403635025024414,0.9077030360953058,1.6268762350082397,1.8158745765686035,33.33114242553711,0.8083191493055556,0.8474136284722222,0.45042777777777776,0.01508094921268574
912561,256,20.0,240000,30000,20,10500,2688000,0.9245409226190476,0.9249642857142857,0.9241175595238095,-0.0008467261904762102,0.9249776785714285,0.9249508928571428,0.9239077380952381,0.924327380952381,0.0004144595721387994,0.9231096487052551,0.926855245620716,-0.0003761852083382034,0.000728280845779529,-0.5165386547212382,0.6239569167629898,17.353248596191406,0.9082038690476191,1.6328978538513184,1.8227105140686035,0.9249642857142857,17.31528663635254,0.9088928571428572,1.638566017150879,1.8278608322143555,0.9241175595238095,17.39012336730957,0.907514880952381,1.627669095993042,1.8175603151321411,0.07483673095703125,-0.0013779761904761934,-0.010896921157836914,-0.010300517082214355,17.350914001464844,0.9088928571428572,1.6345714330673218,1.8239010572433472,17.281269073486328,0.9088928571428572,1.6423547267913818,1.8318204879760742,17.39200210571289,0.9071190476190476,1.6257164478302002,1.816282868385315,17.38821029663086,0.9079107142857142,1.6296336650848389,1.8188374042510986,33.33114242553711,0.8083191493055556,0.8474136284722222,0.45042777777777776,0.01508094921268574
912561,256,20.0,240000,60000,20,9000,2304000,0.9246879340277778,0.9251197916666667,0.9242560763888888,-0.0008637152777778434,0.9253541666666667,0.9248854166666667,0.9239409722222223,0.9245711805555555,0.000383166468992446,0.9237256944444444,0.9267361111111111,-0.0009690990593768038,0.0006985246549020722,-1.3873512589368289,0.21466957469223216,17.35089111328125,0.9082552083333333,1.6333990097045898,1.8234715461730957,0.9251197916666667,17.319162368774414,0.90890625,1.6388278007507324,1.8287521600723267,0.9242560763888888,17.381196975708008,0.9076041666666667,1.628287434577942,1.8181908130645752,0.06203460693359375,-0.0013020833333333703,-0.010540366172790527,-0.010561347007751465,17.363372802734375,0.9092378472222222,1.6346701383590698,1.8232308626174927,17.273868560791016,0.9085746527777778,1.6430881023406982,1.8342734575271606,17.437650680541992,0.9073663194444445,1.6192715167999268,1.808496117591858,17.324209213256836,0.9078420138888889,1.6371272802352905,1.827885627746582,33.33114242553711,0.8083191493055556,0.8474136284722222,0.45042777777777776,0.01508094921268574
912562,256,20.0,240000,15000,20,11250,2880000,0.9249934027777778,0.9251381944444445,0.9248486111111112,-0.00028958333333328756,0.925632665303946,0.9246425635442588,0.9249463793563301,0.9247519003378378,0.0003161125839176094,0.9239475906827881,0.9264836531627576,-0.0004633360599573441,0.000494960749510794,-0.9361066719235678,0.38534819368179296,17.307252883911133,0.9083208333333334,1.6374032497406006,1.829385757446289,0.9251381944444445,17.282800674438477,0.9081118055555556,1.6407418251037598,1.8330246210098267,0.9248486111111112,17.332740783691406,0.9085298611111111,1.6340830326080322,1.8257468938827515,0.04994010925292969,0.00041805555555551877,-0.006658792495727539,-0.007277727127075195,17.291259765625,0.9082246489512975,1.6401727199554443,1.833143949508667,17.27249526977539,0.9079955230181301,1.6412420272827148,1.8329366445541382,17.342679977416992,0.9086643181009957,1.6337611675262451,1.8241093158721924,17.323558807373047,0.9083989931543386,1.634373664855957,1.8273504972457886,33.10072326660156,0.80845234375,0.8475984201388889,0.44978111111111113,0.0154045076576677
912562,256,20.0,240000,30000,20,10500,2688000,0.9248991815476191,0.9249955357142857,0.9248028273809524,-0.0001927083333332913,0.9253690476190476,0.9246220238095239,0.9246383928571429,0.9249672619047619,0.00037124150688213535,0.9235512338033537,0.9266142659939071,-0.0002619335176394823,0.0006580536317459453,-0.3980428114111631,0.7043751672542234,17.317291259765625,0.9083526785714285,1.636399269104004,1.8283298015594482,0.9249955357142857,17.289688110351562,0.908296875,1.6404495239257812,1.8321839570999146,0.9248028273809524,17.345623016357422,0.9084084821428572,1.6325089931488037,1.824475646018982,0.055934906005859375,0.0001116071428571841,-0.007940530776977539,-0.007708311080932617,17.330217361450195,0.908438988095238,1.6377382278442383,1.8302946090698242,17.246910095214844,0.9081547619047619,1.6429929733276367,1.8340733051300049,17.354759216308594,0.9083214285714286,1.631563425064087,1.8233541250228882,17.33642578125,0.9084955357142858,1.633575677871704,1.8255970478057861,33.10072326660156,0.80845234375,0.8475984201388889,0.44978111111111113,0.0154045076576677
912562,256,20.0,240000,60000,20,9000,2304000,0.9247756076388889,0.9243046875,0.9252465277777778,0.0009418402777777724,0.9250902777777777,0.9235190972222223,0.9258055555555555,0.9246875,0.0003473945117569833,0.9232569444444444,0.9264895833333333,0.00010526895943564912,0.000726567196883644,0.14488537314533814,0.8895457942567111,17.315231323242188,0.9082751736111111,1.6359236240386963,1.8279622793197632,0.9243046875,17.3111629486084,0.9077595486111111,1.6357786655426025,1.8274288177490234,0.9252465277777778,17.31932830810547,0.9087907986111111,1.6360747814178467,1.8284956216812134,0.008165359497070312,0.001031250000000039,0.0002961158752441406,0.0010668039321899414,17.28160858154297,0.908078125,1.640066146850586,1.832838535308838,17.340423583984375,0.9074409722222222,1.6315748691558838,1.822019100189209,17.265474319458008,0.9090451388888889,1.6421418190002441,1.8372801542282104,17.374570846557617,0.9085364583333333,1.6302075386047363,1.8197112083435059,33.10072326660156,0.80845234375,0.8475984201388889,0.44978111111111113,0.0154045076576677
912563,256,20.0,240000,15000,20,11250,2880000,0.9263982638888889,0.9266229166666666,0.9261736111111111,-0.00044930555555555696,0.9270018663348738,0.9262450564344117,0.9257076258001422,0.9266383468172119,0.0004534350914714847,0.9249561033072546,0.9282872510668563,-0.00038145698793499094,0.0007439314298880794,-0.5127582632076442,0.6264446344332607,17.26480484008789,0.9093159722222223,1.6465675830841064,1.8399152755737305,0.9266229166666666,17.24634552001953,0.9096319444444444,1.6495511531829834,1.842780351638794,0.9261736111111111,17.282867431640625,0.909,1.6435494422912598,1.8370503187179565,0.03652191162109375,-0.0006319444444443656,-0.006001710891723633,-0.005730032920837402,17.272525787353516,0.909838250977604,1.6471660137176514,1.8381904363632202,17.219295501708984,0.9094299902239602,1.6520253419876099,1.8473864793777466,17.295665740966797,0.9087018247688478,1.6405749320983887,1.8357679843902588,17.270954132080078,0.9092935966394026,1.6465885639190674,1.8383146524429321,33.00453186035156,0.8083963368055556,0.8475558854166667,0.45234,0.01652433057557157
