burn_in,n_chains,p_inv_full_mean,p_inv_full_sem,p_inv_full_t_ci95_lo,p_inv_full_t_ci95_hi,delta_H2_H1_mean,delta_H2_H1_sem,delta_H2_H1_t_ci95_lo,delta_H2_H1_t_ci95_hi,zeta50_mean,zeta50_sem,zeta50_t_ci95_lo,zeta50_t_ci95_hi,w_zeta_gt5_mean,w_zeta_gt5_sem,w_zeta_gt5_t_ci95_lo,w_zeta_gt5_t_ci95_hi,rho_median_mean,rho_median_sem,rho_median_t_ci95_lo,rho_median_t_ci95_hi,rho_mean_mean,rho_mean_sem,rho_mean_t_ci95_lo,rho_mean_t_ci95_hi,delta_zeta50_H2_H1_mean,delta_zeta50_H2_H1_sem,delta_zeta50_H2_H1_t_ci95_lo,delta_zeta50_H2_H1_t_ci95_hi,delta_w_zeta_gt5_H2_H1_mean,delta_w_zeta_gt5_H2_H1_sem,delta_w_zeta_gt5_H2_H1_t_ci95_lo,delta_w_zeta_gt5_H2_H1_t_ci95_hi,delta_rho_median_H2_H1_mean,delta_rho_median_H2_H1_sem,delta_rho_median_H2_H1_t_ci95_lo,delta_rho_median_H2_H1_t_ci95_hi,delta_rho_mean_H2_H1_mean,delta_rho_mean_H2_H1_sem,delta_rho_mean_H2_H1_t_ci95_lo,delta_rho_mean_H2_H1_t_ci95_hi,delta_negative_count,delta_positive_count,delta_zero_count
15000,4,0.9252216145833333,0.00039759004917392754,0.9239563056003222,0.9264869235663444,-0.0005467013888888483,0.00014479246463718886,-0.0010074956330063918,-8.590714477130473e-05,17.31728744506836,0.020037694022926135,17.253518559758692,17.381056330378026,0.9086417534722222,0.0002480409018249064,0.9078523766206503,0.9094311303237941,1.6378802955150604,0.0030203495910990476,1.628268195118202,1.6474923959119188,1.829172670841217,0.003823864496795801,1.8170034274014837,1.8413419142809504,0.020550251007080078,0.020654336266971732,-0.0451810651338314,0.08628156714799155,-0.0002918402777777884,0.0003808163448771425,-0.0015037678475236969,0.00092008729196812,-0.004037588834762573,0.0025326092805753983,-0.01209748188245698,0.004022304212931833,-0.0040263831615448,0.0022608704970489986,-0.011221482121603326,0.0031687157985137255,4,0,0
30000,4,0.925164527529762,0.000424052678527965,0.923815002649735,0.9265140524097889,-0.0005310639880952428,0.0002821418000320882,-0.0014289651171734566,0.0003668371409829709,17.317066192626953,0.02145977366010952,17.248771615230112,17.385360770023794,0.9086658296130953,0.0002523329191834964,0.9078627936467383,0.9094688655794523,1.6378701329231262,0.003253387217378809,1.6275164027935218,1.6482238630527306,1.8291174471378326,0.0040612081968027765,1.8161928701169296,1.8420420241587356,0.04411029815673828,0.02917233137957861,-0.04872908005871364,0.1369496763721902,-0.0004916294642857144,0.00044784655910217765,-0.0019168770916344613,0.0009336181630630325,-0.006996780633926392,0.0037296865441909174,-0.018866307796353135,0.004872746528500354,-0.007483363151550293,0.0034866940858621037,-0.018579579862756698,0.003612853559656114,3,1,0
60000,4,0.9251429036458334,0.0003624444835943486,0.9239894435381482,0.9262963637535186,-0.0002185329861111307,0.0003974710929251292,-0.0014834633972477854,0.001046397425025524,17.314154624938965,0.018552245272601024,17.255113100516457,17.373196149361473,0.9086451822916666,0.00022921471568349564,0.907915718766623,0.9093746458167101,1.6381475925445557,0.0028306437506983454,1.6291392207985713,1.64715596429054,1.8296393752098083,0.0037106616644309817,1.8178303937056821,1.8414483567139346,0.028914451599121094,0.01962758730866738,-0.0335492911129808,0.09137819431122299,-0.0002934027777777848,0.0005237126238603505,-0.0019600900826125933,0.001373284527057024,-0.0055720508098602295,0.0029692329957875328,-0.015021475386830739,0.0038773737671102797,-0.006725400686264038,0.003043882142966852,-0.01641239216586795,0.0029615907933398748,3,1,0
