seed,P,n_steps,burn_in,sample_every,block_index,n_blocks,frame_start_in_raw,frame_end_in_raw_inclusive,mc_step_start,mc_step_end,mc_step_center,n_frames,n_paired_beads,p_inv,zeta50,w_zeta_gt5,rho_median,rho_mean
912560,256,240000,15000,20,1,8,0,1406,15000,43120,29060.0,1407,360192,0.9250316497867804,17.399497985839844,0.9088041933191187,1.6288232803344727,1.8167411088943481
912560,256,240000,15000,20,2,8,1407,2813,43140,71260,57200.0,1407,360192,0.9240099724591329,17.41819190979004,0.9075298729566453,1.6208009719848633,1.8115348815917969
912560,256,240000,15000,20,3,8,2814,4219,71280,99380,85330.0,1406,359936,0.9267564233641536,17.298141479492188,0.9099117620910384,1.6463663578033447,1.8386667966842651
912560,256,240000,15000,20,4,8,4220,5625,99400,127500,113450.0,1406,359936,0.9244365665007113,17.353532791137695,0.9080808810455192,1.6327476501464844,1.822461485862732
912560,256,240000,15000,20,5,8,5626,7031,127520,155620,141570.0,1406,359936,0.9241920785917497,17.332653045654297,0.9083864909317212,1.6361420154571533,1.828916072845459
912560,256,240000,15000,20,6,8,7032,8437,155640,183740,169690.0,1406,359936,0.9258284806187767,17.24395751953125,0.9103896248221907,1.64896821975708,1.8380907773971558
912560,256,240000,15000,20,7,8,8438,9843,183760,211860,197810.0,1406,359936,0.9233947146159317,17.386871337890625,0.9078086104196301,1.6257665157318115,1.8102715015411377
912560,256,240000,15000,20,8,8,9844,11249,211880,239980,225930.0,1406,359936,0.9249116509601707,17.339561462402344,0.9087560010668563,1.6332249641418457,1.8230416774749756
912560,256,240000,30000,20,1,8,750,2062,30000,56240,43120.0,1313,336128,0.9251207873191165,17.39704132080078,0.9088859006092918,1.6278979778289795,1.818544626235962
912560,256,240000,30000,20,2,8,2063,3375,56260,82500,69380.0,1313,336128,0.9243056216679361,17.382850646972656,0.9082908891850724,1.6304476261138916,1.8198491334915161
912560,256,240000,30000,20,3,8,3376,4688,82520,108760,95640.0,1313,336128,0.924707254379284,17.38140296936035,0.9085675694973343,1.6306544542312622,1.8236780166625977
912560,256,240000,30000,20,4,8,4689,6001,108780,135020,121900.0,1313,336128,0.9249601342345773,17.28434181213379,0.9085348438690023,1.6437103748321533,1.8323389291763306
912560,256,240000,30000,20,5,8,6002,7313,135040,161260,148150.0,1312,335872,0.9253048780487805,17.301738739013672,0.9090873904344512,1.639530062675476,1.8311767578125
912560,256,240000,30000,20,6,8,7314,8625,161280,187500,174390.0,1312,335872,0.9253376286204268,17.276042938232422,0.9100222703887195,1.645898461341858,1.8345947265625
912560,256,240000,30000,20,7,8,8626,9937,187520,213740,200630.0,1312,335872,0.9235899390243902,17.376407623291016,0.9077356850228658,1.6266093254089355,1.8130507469177246
912560,256,240000,30000,20,8,8,9938,11249,213760,239980,226870.0,1312,335872,0.9250875333460366,17.32817840576172,0.9090963224085366,1.6351823806762695,1.8238989114761353
912560,256,240000,60000,20,1,8,2250,3374,60000,82480,71240.0,1125,288000,0.9252604166666667,17.33667755126953,0.9090138888888889,1.6384634971618652,1.8288085460662842
912560,256,240000,60000,20,2,8,3375,4499,82500,104980,93740.0,1125,288000,0.9252916666666666,17.377412796020508,0.9092256944444445,1.633827805519104,1.8259822130203247
912560,256,240000,60000,20,3,8,4500,5624,105000,127480,116240.0,1125,288000,0.9256388888888889,17.265016555786133,0.9085,1.6452209949493408,1.8337312936782837
912560,256,240000,60000,20,4,8,5625,6749,127500,149980,138740.0,1125,288000,0.9243263888888889,17.35592269897461,0.9086458333333334,1.6334792375564575,1.8282947540283203
912560,256,240000,60000,20,5,8,6750,7874,150000,172480,161240.0,1125,288000,0.9260694444444444,17.24982452392578,0.910375,1.6484367847442627,1.8364917039871216
912560,256,240000,60000,20,6,8,7875,8999,172500,194980,183740.0,1125,288000,0.9232118055555556,17.342851638793945,0.9081909722222222,1.6323521137237549,1.8185724020004272
912560,256,240000,60000,20,7,8,9000,10124,195000,217480,206240.0,1125,288000,0.92384375,17.35549545288086,0.9076770833333333,1.6283684968948364,1.8167144060134888
912560,256,240000,60000,20,8,8,10125,11249,217500,239980,228740.0,1125,288000,0.9254340277777777,17.325843811035156,0.9092743055555556,1.636753797531128,1.8251703977584839
912561,256,240000,15000,20,1,8,0,1406,15000,43120,29060.0,1407,360192,0.9250233208955224,17.35565757751465,0.9078269367448472,1.6335837841033936,1.827113389968872
912561,256,240000,15000,20,2,8,1407,2813,43140,71260,57200.0,1407,360192,0.9251538068585643,17.359405517578125,0.9090374022743426,1.6357133388519287,1.8213245868682861
912561,256,240000,15000,20,3,8,2814,4219,71280,99380,85330.0,1406,359936,0.9251144647937412,17.349895477294922,0.9095478084992887,1.63670015335083,1.8258874416351318
912561,256,240000,15000,20,4,8,4220,5625,99400,127500,113450.0,1406,359936,0.9253256134423897,17.26454734802246,0.9088810232930299,1.6429109573364258,1.8320673704147339
912561,256,240000,15000,20,5,8,5626,7031,127520,155620,141570.0,1406,359936,0.924155961059744,17.35770034790039,0.9074307654694168,1.6324265003204346,1.8241703510284424
912561,256,240000,15000,20,6,8,7032,8437,155640,183740,169690.0,1406,359936,0.9248421941678521,17.308610916137695,0.9076446923897582,1.6345874071121216,1.827092170715332
