beta,SPLH_energy_error_pct,classical_energy_error_pct,SPLH_density_L1,P64_abs_Trotter_bias_pct
0.5,-0.8687785364135687,-1.722902879005351,0.0119551287759314,0.000433614630624
0.8,-2.356856003579082,-5.199418096176689,0.0256064182763413,0.0013722715639782
1.0,-3.3971648397004324,-8.536431664494879,0.0319642233375879,0.0023709586043835
1.3,-4.232038761647254,-14.491031740542056,0.0329969494356109,0.0044632027349744
1.6,-3.537655901934104,-20.8675861255516,0.0229877510047495,0.0072915315947035
1.9,-0.878676165275799,-27.14237634698847,0.0080422412705005,0.0108805595665098
2.1,2.3498931938677674,-31.13510044503861,0.026623610226092,0.0137031341353152
2.25,5.965379351396003,-34.00018856526799,0.0494812337259536,0.0160459401356356
2.35,9.3137875992702,-35.843150519773054,0.0699915824737284,0.0177147275996071
2.42,12.409154250677991,-37.10012819085579,0.0880165951790172,0.018933426180142
2.48,15.925122689039709,-38.15548873861033,0.1072785827585725,0.0200109608722048
2.5,17.395815887756218,-38.502719643492576,0.1150413360997816,0.0203768666399884
2.54,21.25176254607498,-39.190319860072286,0.1341622490395714,0.021118733483825
