burn_in,n_chains,mean,between_chain_sd,sem,ci95_low,ci95_high,t_star,t_critical_df15
32000,16,0.6584858041893424,0.013933461099169906,0.0034833652747924765,0.6510611868573689,0.665910421521316,0.5073270960501507,2.131449545559323
48000,16,0.6563902448157215,0.014312547604195052,0.003578136901048763,0.6487636265440321,0.6640168630874109,-0.0917666912583174,2.131449545559323
64000,16,0.6570658658107211,0.01625691453052244,0.00406422863263061,0.6484031675386515,0.6657285640827908,0.0854448019811129,2.131449545559323
