seed,energy_mean,first_half_mean,second_half_mean,second_minus_first,acceptance_local,acceptance_global,local_step_nm,global_step_nm,runtime_seconds,n_saved_samples
132001,0.657490184996369,0.6481513439194648,0.6668290260732732,0.018677682153808384,0.66652392578125,0.21167480699543093,0.2834903272159387,5.006861650179843,6.957610757000111,25600
132002,0.6430592969596342,0.6397476689573756,0.6463709249618926,0.006623256004517075,0.666752197265625,0.20643776824034335,0.2834903272159387,5.006861650179843,2.344286256000032,25600
132003,0.6630568804860861,0.6302814492694805,0.6958323117026919,0.0655508624332114,0.6665977783203125,0.2152537765523669,0.2834903272159387,5.006861650179843,2.339584095999953,25600
132004,0.6429518671401739,0.6227050132246031,0.6631987210557446,0.04049370783114148,0.6667977294921875,0.20420897604836835,0.2834903272159387,5.006861650179843,2.4097298670001237,25600
132005,0.6444010059502417,0.6346012816674808,0.6542007302330026,0.01959944856552187,0.6665531005859375,0.205761316872428,0.2834903272159387,5.006861650179843,2.382149856000069,25600
132006,0.6466186087808533,0.6520623405707735,0.6411748769909331,-0.010887463579840384,0.66652685546875,0.20490091793720205,0.2834903272159387,5.006861650179843,2.3771742240001004,25600
132007,0.6716058637701323,0.6812918497115134,0.6619198778287515,-0.01937197188276185,0.6662691650390625,0.21131357084579822,0.2834903272159387,5.006861650179843,2.3861519820000012,25600
132008,0.6830116172315536,0.6831191888384427,0.6829040456246644,-0.00021514321377824608,0.6664898681640625,0.21893097511347628,0.2834903272159387,5.006861650179843,2.3966921510000248,25600
132009,0.6596773312570509,0.6444703145715852,0.6748843479425165,0.030414033370931293,0.666512939453125,0.2138091666337689,0.2834903272159387,5.006861650179843,2.41772405100005,25600
132010,0.6693880812462082,0.6663816632407193,0.672394499251697,0.006012836010977685,0.6666961669921875,0.2180857356942856,0.2834903272159387,5.006861650179843,2.389041827000028,25600
132011,0.6518453111820536,0.659340091914093,0.6443505304500141,-0.014989561464078927,0.666549072265625,0.2095503013444599,0.2834903272159387,5.006861650179843,2.3757305469998755,25600
132012,0.6740742035005874,0.6630205802581617,0.6851278267430132,0.022107246484851517,0.666657470703125,0.2112881022615536,0.2834903272159387,5.006861650179843,2.430411830000139,25600
132013,0.6594475761937392,0.6782410201351212,0.6406541322523571,-0.0375868878827641,0.666430908203125,0.21132880698351114,0.2834903272159387,5.006861650179843,2.3588906840000163,25600
132014,0.6755039916759106,0.6713239398248422,0.6796840435269789,0.00836010370213669,0.6663917236328125,0.21380621628962787,0.2834903272159387,5.006861650179843,2.328970460999926,25600
132015,0.6340139737109577,0.6295469649218317,0.6384809825000837,0.008934017578251963,0.6665057373046875,0.20447696943607405,0.2834903272159387,5.006861650179843,2.3099591630000305,25600
132016,0.6596270729479267,0.633386734107225,0.6858674117886281,0.052480677681403076,0.66664453125,0.20607805751196545,0.2834903272159387,5.006861650179843,2.337117181000167,25600
