beta,zeta_max,V_exact_BZ,V_SPLH,SPLH_energy_error_pct,SPLH_density_L1_vs_exact_BZ,P64_Trotter_bias_pct
0.5,0.19492420030841903,2.152490622179183,2.1337902456553755,-0.8687785364135687,0.011955128775931405,-0.000433614630624015
0.8,0.31187872049347043,1.6704922928005639,1.631121194908368,-2.356856003579082,0.025606418276341386,-0.0013722715639782684
1.0,0.38984840061683806,1.411586796382038,1.3636328660534938,-3.3971648397004324,0.031964223337587916,-0.0023709586043835695
1.3,0.5068029208018895,1.1274203559489897,1.079707489478527,-4.232038761647254,0.03299694943561096,-0.004463202734974451
1.6,0.6237574409869409,0.9451027194261448,0.911668237293026,-3.537655901934104,0.022987751004749507,-0.007291531594703509
1.9,0.7407119611719922,0.8310438321937627,0.8237416481172815,-0.878676165275799,0.008042241270500511,-0.010880559566509856
2.1,0.8186816412953599,0.7796399709892019,0.7979606776041498,2.3498931938677674,0.026623610226092016,-0.013703134135315227
2.25,0.8771589013878855,0.7500314773916825,0.7947737002729763,5.965379351396003,0.049481233725953644,-0.01604594013563561
2.35,0.9161437414495693,0.7336018021335919,0.8019279158087331,9.3137875992702,0.06999158247372844,-0.017714727599607107
2.42,0.943433129492748,0.7234217743426715,0.8131922982038453,12.409154250677993,0.08801659517901725,-0.018933426180142023
2.48,0.9668240335297583,0.7154607213677637,0.8293987190374686,15.925122689039709,0.10727858275857255,-0.020010960872204896
2.5,0.9746210015420952,0.7129518184471617,0.8369756041526399,17.395815887756218,0.11504133609978169,-0.020376866639988476
2.54,0.9902149375667686,0.7081378687352284,0.8586296470976753,21.25176254607498,0.1341622490395714,-0.021118733483825012
