P,seed,temperature_K,n_frames,n_paired_beads,p_invalid,p_invalid_no_wall_diagnostic,zeta_median,zeta_p95,zeta_max_sampled,p_zeta_gt_2,p_zeta_gt_5,rho_mean_nm,rho_median_nm,rho_p05_nm,rho_p95_nm,acceptance_local_e,acceptance_local_h,acceptance_staging,acceptance_global_joint,elapsed_s
64,95000,20.0,2250,144000,0.8886875,0.8886875,17.436080932617188,26.279367446899414,27.216707229614258,0.8835902777777778,0.8698263888888889,1.67935049533844,1.4631268978118896,0.32087841629981995,3.7621123790740967,0.8937357638888889,0.9109225694444445,0.21811111111111112,0.014756084131703557,2.2061996459960938
64,95001,20.0,2250,144000,0.8882638888888889,0.8882638888888889,17.312997817993164,26.270954132080078,27.223007202148438,0.8835625,0.8699236111111112,1.694974660873413,1.4781239032745361,0.3200620114803314,3.8066930770874023,0.8936534722222222,0.9114111111111111,0.2205,0.017432115320147504,2.0201051235198975
64,95002,20.0,2250,144000,0.8902152777777778,0.8902152777777778,17.271888732910156,26.275577545166016,27.326555252075195,0.8851736111111111,0.8706666666666667,1.6939210891723633,1.4788904190063477,0.3226587772369385,3.8053464889526367,0.8939055555555555,0.9113545138888889,0.2190111111111111,0.013501549358123064,2.048205852508545
64,95003,20.0,2250,144000,0.8893125,0.8893125,17.25891876220703,26.27214241027832,27.19122314453125,0.8840138888888889,0.868875,1.7009490728378296,1.4807586669921875,0.31988996267318726,3.825183153152466,0.8938236111111111,0.911425,0.22017777777777778,0.013824362606232295,2.0193965435028076
64,95004,20.0,2250,144000,0.8876597222222222,0.8876597222222222,17.3769588470459,26.266874313354492,27.11905860900879,0.8826875,0.8689097222222222,1.6887418031692505,1.470510721206665,0.31987622380256653,3.808457851409912,0.8938819444444445,0.9112423611111111,0.21798333333333333,0.014098690835850957,2.011465072631836
64,95005,20.0,2250,144000,0.890125,0.890125,17.391109466552734,26.276334762573242,27.20018768310547,0.8850555555555556,0.8712986111111111,1.6892104148864746,1.4727911949157715,0.3221169710159302,3.79158878326416,0.8936447916666667,0.9111770833333334,0.21822777777777777,0.015268864793095818,2.0497872829437256
64,95006,20.0,2250,144000,0.8898888888888888,0.8898958333333333,17.316679000854492,26.266542434692383,27.202476501464844,0.8845833333333334,0.8700902777777778,1.7002726793289185,1.479840874671936,0.32238641381263733,3.828678607940674,0.893596875,0.9113909722222222,0.22264444444444445,0.016248636859323883,2.0206687450408936
64,95007,20.0,2250,144000,0.8903888888888889,0.8903888888888889,17.278636932373047,26.267078399658203,27.256855010986328,0.8856319444444445,0.8713194444444444,1.7048380374908447,1.4876177310943604,0.32570207118988037,3.82611083984375,0.8939131944444444,0.9110256944444445,0.22005555555555556,0.011840212459887131,2.0120744705200195
64,95008,20.0,2250,144000,0.8909583333333333,0.8909583333333333,17.388423919677734,26.271177291870117,27.201923370361328,0.8858541666666667,0.8717638888888889,1.695907711982727,1.4789330959320068,0.3230043053627014,3.7976226806640625,0.8936059027777777,0.911465625,0.22138888888888889,0.016335540838852098,2.010376453399658
64,95009,20.0,2250,144000,0.8905416666666667,0.8905416666666667,17.296855926513672,26.27113914489746,27.184539794921875,0.8851597222222222,0.8701597222222223,1.6985079050064087,1.4766144752502441,0.32121899724006653,3.816528558731079,0.8936996527777777,0.9113284722222222,0.21822777777777777,0.015175359712230215,2.013044595718384
128,159000,20.0,2250,288000,0.9158159722222222,0.9158159722222222,17.298202514648438,26.25194549560547,27.250329971313477,0.9119201388888889,0.8991111111111111,1.7951139211654663,1.5990536212921143,0.3799351155757904,3.8893861770629883,0.8611130208333333,0.8887800347222222,0.3498833333333333,0.01712707182320442,3.871338129043579
128,159001,20.0,2250,288000,0.9164201388888888,0.9164201388888888,17.25800132751465,26.254980087280273,27.260000228881836,0.9125590277777778,0.8990069444444444,1.8006447553634644,1.6070923805236816,0.3809247612953186,3.8774826526641846,0.8611871527777778,0.8889630208333333,0.35196666666666665,0.014092321349312029,3.8712713718414307
128,159002,20.0,2250,288000,0.9160729166666667,0.9160729166666667,17.33321762084961,26.25217056274414,27.350711822509766,0.9122534722222222,0.8991111111111111,1.794229507446289,1.601790428161621,0.38156622648239136,3.878540515899658,0.8613960069444444,0.8886939236111111,0.34865555555555555,0.013210479573712255,3.8602375984191895
128,159003,20.0,2250,288000,0.9159444444444444,0.9159444444444444,17.351093292236328,26.250425338745117,27.240474700927734,0.9124236111111111,0.8989861111111112,1.788666844367981,1.5960257053375244,0.3809192180633545,3.8619496822357178,0.8615618055555555,0.8888517361111111,0.34952222222222223,0.01678445229681979,3.8845062255859375
128,159004,20.0,2250,288000,0.9169895833333334,0.9169895833333334,17.26617431640625,26.25424575805664,27.301956176757812,0.9132361111111111,0.8999513888888889,1.8048306703567505,1.6120097637176514,0.3835802674293518,3.8906195163726807,0.8612715277777778,0.8888692708333333,0.3520888888888889,0.014256619144602852,3.8817543983459473
128,159005,20.0,2250,288000,0.9152256944444445,0.9152256944444445,17.320648193359375,26.254905700683594,27.255329132080078,0.911375,0.8980277777777778,1.7896167039871216,1.5940930843353271,0.38005495071411133,3.872394323348999,0.8610496527777778,0.8888352430555555,0.3499333333333333,0.015422717550377125,3.8563754558563232
128,159006,20.0,2250,288000,0.9170625,0.9170625,17.294130325317383,26.249176025390625,27.251893997192383,0.9133958333333333,0.9000729166666667,1.8058172464370728,1.611055850982666,0.3833443820476532,3.896665334701538,0.8612222222222222,0.8888192708333333,0.35099444444444444,0.01381578947368421,3.846445083618164
128,159007,20.0,2250,288000,0.9162673611111111,0.9162673611111111,17.28778076171875,26.252944946289062,27.204984664916992,0.9126701388888889,0.9003541666666667,1.8019229173660278,1.6060335636138916,0.3836115598678589,3.8862247467041016,0.8613402777777778,0.8890024305555555,0.3526444444444444,0.014917127071823204,3.8470449447631836
128,159008,20.0,2250,288000,0.9151493055555555,0.9151493055555555,17.318683624267578,26.25191307067871,27.215803146362305,0.9112847222222222,0.8982847222222222,1.7926373481750488,1.598447561264038,0.3770538568496704,3.893537998199463,0.8612272569444445,0.8888939236111111,0.3488722222222222,0.01411111111111111,3.8459720611572266
128,159009,20.0,2250,288000,0.9157222222222222,0.9157222222222222,17.375507354736328,26.25456428527832,27.22616958618164,0.9118333333333334,0.899,1.783591389656067,1.5948030948638916,0.3790634572505951,3.852191686630249,0.8614612847222223,0.8887430555555556,0.34830555555555553,0.017099711303575394,3.8529489040374756
256,287000,20.0,2250,576000,0.9217135416666666,0.9217135416666666,17.445934295654297,26.251487731933594,27.239776611328125,0.9185381944444444,0.9075520833333334,1.802793025970459,1.618938684463501,0.40159207582473755,3.843320608139038,0.808403125,0.8474002604166667,0.4454388888888889,0.013258203513423931,7.499701261520386
256,287001,20.0,2250,576000,0.9243663194444445,0.9243663194444445,17.317790985107422,26.247966766357422,27.225914001464844,0.9209774305555556,0.9083559027777778,1.8301334381103516,1.6341995000839233,0.4064594507217407,3.92182993888855,0.8081321180555555,0.8473925347222222,0.45290555555555556,0.014190687361419069,7.460218191146851
256,287002,20.0,2250,576000,0.9253072916666667,0.9253072916666667,17.339641571044922,26.24751091003418,27.253259658813477,0.92184375,0.9094861111111111,1.8213382959365845,1.6361982822418213,0.40625762939453125,3.8749513626098633,0.8082596354166667,0.8474581597222223,0.4499722222222222,0.014446952595936794,7.511553764343262
256,287003,20.0,2250,576000,0.9259565972222222,0.9259583333333333,17.293691635131836,26.246631622314453,27.263473510742188,0.9225503472222222,0.9091145833333333,1.829086422920227,1.643114447593689,0.4088693857192993,3.890428066253662,0.8082915798611111,0.8473434895833334,0.45113333333333333,0.013877919440370078,7.5373311042785645
256,287004,20.0,2250,576000,0.925640625,0.9256423611111111,17.24585723876953,26.241073608398438,27.284730911254883,0.9223871527777778,0.9091302083333334,1.8420774936676025,1.6468653678894043,0.41055524349212646,3.941599130630493,0.8085614583333334,0.8475709201388889,0.4519722222222222,0.014707546102500283,7.452152490615845
256,287005,20.0,2250,576000,0.9244756944444444,0.9244756944444444,17.305221557617188,26.24279022216797,27.223880767822266,0.9212621527777778,0.9088003472222222,1.8245679140090942,1.6396942138671875,0.407569020986557,3.878340721130371,0.8085160590277778,0.8475142361111111,0.45111111111111113,0.013746088511399196,7.413695335388184
256,287006,20.0,2250,576000,0.9245763888888889,0.9245850694444444,17.313411712646484,26.246700286865234,27.271085739135742,0.9211267361111111,0.9080434027777777,1.8299086093902588,1.6351065635681152,0.4067476987838745,3.9236817359924316,0.8085006944444444,0.8476533854166667,0.4510388888888889,0.014045565140455652,7.531415939331055
256,287007,20.0,2250,576000,0.9255572916666667,0.9255572916666667,17.34563636779785,26.24671173095703,27.27256965637207,0.9220659722222222,0.9098923611111112,1.827877163887024,1.638676643371582,0.4088801443576813,3.8945703506469727,0.8082964409722222,0.8477824652777778,0.45111666666666667,0.014678291579295883,7.438185930252075
256,287008,20.0,2250,576000,0.92503125,0.92503125,17.26962661743164,26.248363494873047,27.25127410888672,0.9214791666666666,0.908375,1.8327795267105103,1.641682505607605,0.4052385091781616,3.9155466556549072,0.8083362847222222,0.8474717881944445,0.45171666666666666,0.013244296048970506,7.434078216552734
256,287009,20.0,2250,576000,0.9258993055555556,0.9258993055555556,17.3050537109375,26.246065139770508,27.23349952697754,0.9223003472222222,0.9089565972222222,1.8299860954284668,1.6404688358306885,0.4086087644100189,3.8993027210235596,0.80832734375,0.8475690104166667,0.44905,0.016264660323080327,7.497703790664673
